"Arquivo","Linha","CodigoTS","Categoria","Severidade","DescricaoResumida","Modulo","IsTeste"
"src/activities/activities.service.spec.ts","30","TS2554","CAT-6","🟢 Teste","Expected 3 arguments, but got 2.","activities","True"
"src/admin/services/cache-refresh.service.spec.ts","65","TS2769","CAT-6","🟢 Teste","No overload matches this call.","admin","True"
"src/ai/ai.service.spec.ts","63","TS2554","CAT-6","🟢 Teste","Expected 20 arguments, but got 19.","ai","True"
"src/ai/openai-request.util.spec.ts","19","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<unknown>, [_name: string, fn: () => Promise<unknown>], unknown>' is not assignable to type 'MockInstance<Promise<unknown>, [integrationName: string, fn: () => Promise<unknown>, opts?: IntegrationResilienceOptions | undefined], unknown> & (<T>(integrationName: string, fn: () => Promise<...>, opts?: IntegrationResilienceOptions | undefined) => Promise<...>)'.","ai","True"
"src/ai/openai-request.util.spec.ts","63","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<IntegrationResilienceService, ""execute"">>' is missing the following properties from type 'IntegrationResilienceService': logger, configService, circuitBreaker, retryService, and 2 more.","ai","True"
"src/ai/openai-request.util.spec.ts","64","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<OpenAiCircuitBreakerService, ""assertRequestAllowed"" | ""recordSuccess"" | ""recordFailure"" | ""isCountableFailureStatus"" | ""isCountableFailureError"">>' is missing the following properties from type 'OpenAiCircuitBreakerService': logger, redis, metricsService, getState, and 10 more.","ai","True"
"src/ai/openai-request.util.spec.ts","115","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<IntegrationResilienceService, ""execute"">>' is missing the following properties from type 'IntegrationResilienceService': logger, configService, circuitBreaker, retryService, and 2 more.","ai","True"
"src/ai/openai-request.util.spec.ts","116","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<OpenAiCircuitBreakerService, ""assertRequestAllowed"" | ""recordSuccess"" | ""recordFailure"" | ""isCountableFailureStatus"" | ""isCountableFailureError"">>' is missing the following properties from type 'OpenAiCircuitBreakerService': logger, redis, metricsService, getState, and 10 more.","ai","True"
"src/ai/openai-request.util.spec.ts","147","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<IntegrationResilienceService, ""execute"">>' is missing the following properties from type 'IntegrationResilienceService': logger, configService, circuitBreaker, retryService, and 2 more.","ai","True"
"src/ai/openai-request.util.spec.ts","148","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<OpenAiCircuitBreakerService, ""assertRequestAllowed"" | ""recordSuccess"" | ""recordFailure"" | ""isCountableFailureStatus"" | ""isCountableFailureError"">>' is missing the following properties from type 'OpenAiCircuitBreakerService': logger, redis, metricsService, getState, and 10 more.","ai","True"
"src/ai/openai-request.util.spec.ts","170","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<IntegrationResilienceService, ""execute"">>' is missing the following properties from type 'IntegrationResilienceService': logger, configService, circuitBreaker, retryService, and 2 more.","ai","True"
"src/ai/openai-request.util.spec.ts","171","TS2740","CAT-6","🟢 Teste","Type 'Mocked<Pick<OpenAiCircuitBreakerService, ""assertRequestAllowed"" | ""recordSuccess"" | ""recordFailure"" | ""isCountableFailureStatus"" | ""isCountableFailureError"">>' is missing the following properties from type 'OpenAiCircuitBreakerService': logger, redis, metricsService, getState, and 10 more.","ai","True"
"src/app.controller.spec.ts","51","TS2740","CAT-6","🟢 Teste","Type 'RedisClientMock' is missing the following properties from type 'Redis': options, status, stream, isCluster, and 387 more.","app.controller.spec.ts","True"
"src/app.controller.spec.ts","73","TS2540","CAT-6","🟢 Teste","Cannot assign to 'isInitialized' because it is a read-only property.","app.controller.spec.ts","True"
"src/aprs/apr-lock.integration.spec.ts","281","TS2322","CAT-6","🟢 Teste","Type '<T = unknown>(_sql: string, params: unknown[] | undefined) => Promise<unknown[]>' is not assignable to type '<T = unknown>(sql: string, params?: unknown[] | undefined) => Promise<T[]>'.","aprs","True"
"src/aprs/aprs.service.spec.ts","77","TS2353","CAT-6","🟢 Teste","Object literal may only specify known properties, and 'getRepository' does not exist in type '{ transaction: Mock<any, any, any>; }'.","aprs","True"
"src/aprs/aprs.service.spec.ts","167","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<{ user_id: string; }[]>, [], any>' is not assignable to type '(document_id: string, document_type: string) => Promise<Signature[]>'.","aprs","True"
"src/aprs/aprs.service.spec.ts","228","TS2322","CAT-6","🟢 Teste","Type 'Mock<Buffer<ArrayBuffer>, [], any>' is not assignable to type '() => Promise<Buffer<ArrayBufferLike>>'.","aprs","True"
"src/aprs/aprs.service.spec.ts","229","TS2322","CAT-6","🟢 Teste","Type 'Mock<Buffer<ArrayBuffer>, [], any>' is not assignable to type '(apr: Apr) => Promise<Buffer<ArrayBufferLike>>'.","aprs","True"
"src/aprs/aprs.service.spec.ts","232","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<undefined>, [], any>' is not assignable to type '(input: AppendForensicTrailEventInput, options?: { manager?: EntityManager | undefined; } | undefined) => Promise<ForensicTrailEvent>'.","aprs","True"
"src/aprs/aprs.service.spec.ts","307","TS2345","CAT-6","🟢 Teste","Argument of type 'undefined' is not assignable to parameter of type 'never'.","aprs","True"
"src/aprs/aprs.service.spec.ts","310","TS2345","CAT-6","🟢 Teste","Argument of type 'undefined' is not assignable to parameter of type 'never'.","aprs","True"
"src/aprs/aprs.service.spec.ts","313","TS2345","CAT-6","🟢 Teste","Argument of type 'undefined' is not assignable to parameter of type 'never'.","aprs","True"
"src/aprs/aprs.service.spec.ts","519","TS2722","CAT-6","🟢 Teste","Cannot invoke an object which is possibly 'undefined'.","aprs","True"
"src/aprs/aprs.service.spec.ts","519","TS2345","CAT-6","🟢 Teste","Argument of type '{ getRepository: jest.Mock<{ update: jest.Mock<any, any, any>; }, [], any>; }' is not assignable to parameter of type 'EntityManager'.","aprs","True"
"src/aprs/aprs.service.spec.ts","688","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; status: AprStatus.PENDENTE; pdf_file_key: null; }' to type 'Apr' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","aprs","True"
"src/aprs/aprs.service.spec.ts","702","TS2722","CAT-6","🟢 Teste","Cannot invoke an object which is possibly 'undefined'.","aprs","True"
"src/aprs/aprs.service.spec.ts","702","TS2345","CAT-6","🟢 Teste","Argument of type '{ getRepository: jest.Mock<{ softDelete: jest.Mock<any, any, any>; }, [], any>; }' is not assignable to parameter of type 'EntityManager'.","aprs","True"
"src/aprs/aprs.service.spec.ts","1065","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; pdf_file_key: null; pdf_folder_path: null; pdf_original_name: null; }' to type 'Apr' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","aprs","True"
"src/aprs/aprs.service.spec.ts","1152","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; elaborador_id: string; status: AprStatus.PENDENTE; pdf_file_key: null; }' to type 'Apr' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","aprs","True"
"src/aprs/services/aprs-evidence.service.spec.ts","62","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; status: AprStatus.PENDENTE; pdf_file_key: null; elaborador_id: string; participants: never[]; }' to type 'Apr' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","aprs","True"
"src/aprs/services/aprs-pdf.service.spec.ts","81","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<void | undefined>, [input: RegisterFinalDocumentInput], any>' is not assignable to type '(input: RegisterFinalDocumentInput) => Promise<{ hash: string; registryEntry: DocumentRegistryEntry; }>'.","aprs","True"
"src/aprs/services/aprs-pdf.service.spec.ts","90","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<{ user_id: string; }[]>, [], any>' is not assignable to type '(document_id: string, document_type: string) => Promise<Signature[]>'.","aprs","True"
"src/aprs/services/aprs-pdf.service.spec.ts","178","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; pdf_file_key: null; pdf_folder_path: null; pdf_original_name: null; }' to type 'Apr' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","aprs","True"
"src/audits/audits.service.spec.ts","85","TS2722","CAT-6","🟢 Teste","Cannot invoke an object which is possibly 'undefined'.","audits","True"
"src/audits/audits.service.spec.ts","85","TS2345","CAT-6","🟢 Teste","Argument of type '{ getRepository: jest.Mock<{ update: jest.Mock<any, any, any>; }, [], any>; }' is not assignable to parameter of type 'EntityManager'.","audits","True"
"src/audits/audits.service.spec.ts","133","TS2345","CAT-6","🟢 Teste","Argument of type '{ titulo: string; }' is not assignable to parameter of type 'UpdateAuditDto'.","audits","True"
"src/audits/audits.service.spec.ts","175","TS2722","CAT-6","🟢 Teste","Cannot invoke an object which is possibly 'undefined'.","audits","True"
"src/audits/audits.service.spec.ts","175","TS2345","CAT-6","🟢 Teste","Argument of type '{ getRepository: jest.Mock<{ softDelete: jest.Mock<any, any, any>; }, [], any>; }' is not assignable to parameter of type 'EntityManager'.","audits","True"
"src/audits/audits.service.spec.ts","221","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; pdf_file_key: null; pdf_folder_path: null; pdf_original_name: null; }' to type 'Audit' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","audits","True"
"src/auth/auth.controller.spec.ts","203","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","223","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","243","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","268","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","308","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","341","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","363","TS2345","CAT-6","🟢 Teste","Argument of type '{ user: { userId: string; profile: { nome: string; }; jti: string; }; }' is not assignable to parameter of type 'AuthenticatedRequest'.","auth","True"
"src/auth/auth.controller.spec.ts","394","TS2345","CAT-6","🟢 Teste","Argument of type '{ user: { userId: string; profile: { nome: string; }; }; }' is not assignable to parameter of type 'AuthenticatedRequest'.","auth","True"
"src/auth/auth.controller.spec.ts","434","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/auth.controller.spec.ts","477","TS2345","CAT-6","🟢 Teste","Argument of type 'MockResponse' is not assignable to parameter of type 'Response<any, Record<string, any>>'.","auth","True"
"src/auth/jwt-auth.guard.spec.ts","9","TS2554","CAT-6","🟢 Teste","Expected 1 arguments, but got 0.","auth","True"
"src/auth/services/mfa.service.spec.ts","36","TS7053","CAT-6","🟢 Teste","Element implicitly has an 'any' type because expression of type 'string' can't be used to index type '{ MFA_ENABLED: string; JWT_SECRET: string; }'.","auth","True"
"src/checklists/checklists.service.spec.ts","128","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<{ id: string; user_id: string; signature_data: string; created_at: string; user: { nome: string; }; }[]>, [], any>' is not assignable to type '(document_id: string, document_type: string) => Promise<Signature[]>'.","checklists","True"
"src/checklists/checklists.service.spec.ts","142","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<{ id: string; company_id: string; }>, [id: string], any>' is not assignable to type '(id: string) => Promise<UserResponseDto>'.","checklists","True"
"src/checklists/checklists.service.spec.ts","150","TS2322","CAT-6","🟢 Teste","Type 'Mock<Promise<{ id: string; company_id: string; }>, [id: string], any>' is not assignable to type '(id: string) => Promise<Site>'.","checklists","True"
"src/checklists/checklists.service.spec.ts","168","TS2554","CAT-6","🟢 Teste","Expected 16 arguments, but got 15.","checklists","True"
"src/checklists/checklists.service.spec.ts","216","TS2352","CAT-6","🟢 Teste","Conversion of type '{ id: string; company_id: string; titulo: string; data: Date; site_id: string; inspetor_id: string; is_modelo: false; pdf_file_key: null; }' to type 'Checklist' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.","checklists","True"
"src/checklists/checklists.service.spec.ts","237","TS2722","CAT-6","🟢 Teste","Cannot invoke an object which is possibly 'undefined'.","checklists","True"
"src/checklists/checklists.service.spec.ts","237","TS2554","CAT-6","🟢 Teste","Expected 2 arguments, but got 1.","checklists","True"
